oid,otype,morph_type,rvz_redshift,B,V,u_,g_,r_,i_,z_
2780263,Sy1,Sab,0.13449,18.05,17.71,17.488,17.201,16.71,16.282,16.11
2885165,Sy1,S,0.07238,18.09,17.63,17.184,16.188,15.556,15.169,14.926
2238479,Sy2,S0-Sa,0.05288,18.14,17.53,18.469,16.711,15.972,15.565,15.3
1890721,Sy1,SA,0.01948,16.31,15.89,15.51,14.83,14.328,14.102,13.898
5535804,Sy1,Sab,0.14119,17.5,16.89,18.17,17.271,16.527,16.106,15.875
465403,Sy2,SA,0.02646,18.97,18.43,16.504,15.193,14.607,14.275,14.11
5319635,Sy2,E/S0,0.46169,22.34,20.8,23.194,20.284,18.666,17.839,17.322
1944054,Sy2,SA,0.02514,18.12,17.45,16.254,14.869,14.162,13.789,13.533
2861340,Sy1,Sc,0.05922,15.94,15.41,17.165,15.728,15.007,14.535,14.238
1829844,Sy2,SA,0.04641,16.7,15.82,16.501,15.156,14.568,14.205,13.994
2664804,Sy2,Sa,0.03869,17.99,17.28,17.958,16.142,15.304,14.909,14.571
1857262,Sy2,SA_B,0.03151,15.39,14.39,16.088,14.525,13.809,13.381,13.058
2895868,Sy2,Sbc,0.121,19.39,18.68,18.708,17.224,16.403,15.97,15.641
491591,Sy2,SAB,0.03094,18.28,17.6,16.25,14.635,13.878,13.465,13.133
7842973,Sy1,SBb,0.04058,18.4,17.84,17.022,15.664,14.907,14.498,14.228
1725814,Sy1,?...,0.1688,17.5,17.1,17.1691,17.2015,17.0194,16.7382,16.6849
983106,Sy2,Scd,0.07774,19.59,18.74,19.06,17.082,16.125,15.581,15.209
2943144,Sy1,S0/a,0.06146,17.68,17.14,17.442,16.492,15.82,15.406,15.123
2944139,Sy1,S0+,0.04931,18.32,17.69,17.835,16.295,15.59,15.229,14.965
2913493,Sy1,Sa,0.06811,18.74,18.07,18.16,16.391,15.596,15.113,14.789
1827673,Sy2,SAB,0.04981,18.89,18.2,17.381,15.861,15.139,14.772,14.476
394286,Sy1,S:,0.148,14.3,15.5,14.579,14.378,14.339,14.148,14.283
440665,Sy2,2.5,0.03142,16.88,16.23,16.28,14.533,13.787,13.41,13.16
2109211,Sy2,SBb,0.03935,18.68,18.01,16.935,15.449,14.752,14.353,14.073
2185660,Sy2,Sc,0.04461,17.01,16.08,18.26,16.47,15.551,15.045,14.649
477006,Sy1,SB,0.05219,17.12,16.8,16.363,15.507,14.985,14.587,14.359
2214022,Sy2,E,0.06073,16.31,15.3,17.323,15.627,14.818,14.366,14.042
2255949,Sy2,S0-Sa,0.056,19.18,18.45,19.143,17.452,16.631,16.17,15.805
2166554,Sy1,E:,0.21582,19.08,18.49,19.1687,18.8539,18.2586,17.7273,17.6454
441119,Sy1,E4,0.03311,17.93,17.56,17.695,16.244,15.736,15.186,14.878
2664791,Sy1,Sa,0.137,19.41,18.61,18.856,17.133,16.154,15.693,15.374
1808456,Sy2,SB,0.02587,18.28,17.62,17.253,15.671,14.936,14.567,14.239
2138467,Sy2,-3,0.07545,17.72,17,17.847,15.886,14.942,14.494,14.173
417266,Sy2,Sa,0.063,18.9,18.31,18.728,17.495,16.798,16.383,16.106
683770,Sy2,1,0.02167,17.32,16.63,16.453,14.814,14.033,13.619,13.318
